EcologExpTime,PlateCode,C -Source,Well,OD700,WellNr,Date,Time
46,1,Tween 80,D1,0.053,45,16/06/2012,22:15:43
46,1,D-Mannitol,D2,0.041,46,16/06/2012,22:15:43
46,1,4-Hydroxy Benzoic Acid,D3,0.041,47,16/06/2012,22:15:43
46,1,L-Serine,D4,0.044,48,16/06/2012,22:15:43
46,1,_-Cyclodextrin,E1,0.042,49,16/06/2012,22:15:43
46,1,N-Acetyl-D-Glucosamine,E2,0.04,50,16/06/2012,22:15:43
46,1,_-Hydroxybutyric Acid,E3,0.04,51,16/06/2012,22:15:43
46,1,L-Threonine,E4,0.04,52,16/06/2012,22:15:43
46,1,Glycogen,F1,0.042,53,16/06/2012,22:15:43
46,1,D-Glucosaminic Acid,F2,0.039,54,16/06/2012,22:15:43
46,1,Itaconic Acid,F3,0.043,55,16/06/2012,22:15:43
46,1,Glycyl-L-Glutamic Acid,F4,0.039,56,16/06/2012,22:15:43
46,1,D-Cellobiose,G1,0.043,57,16/06/2012,22:15:43
46,1,Glucose-1-Phosphate,G2,0.041,58,16/06/2012,22:15:43
46,1,_-Ketobutyric Acid,G3,0.049,59,16/06/2012,22:15:43
46,1,Phenylethyl-amine,G4,0.044,60,16/06/2012,22:15:43
46,1,_-D-Lactose,H1,0.049,61,16/06/2012,22:15:43
46,1,D L-_-Glycerol Phosphate,H2,0.04,62,16/06/2012,22:15:43
46,1,D-Malic Acid,H3,0.04,63,16/06/2012,22:15:43
46,1,Putrescine,H4,0.041,64,16/06/2012,22:15:43
46,1,Water,A1,0.049,65,16/06/2012,22:15:43
46,1,_-Methyl-D-Glucoside,A2,0.039,66,16/06/2012,22:15:43
46,1,D-Galactonic Acid _-Lactone,A3,0.04,67,16/06/2012,22:15:43
46,1,L-Arginine,A4,0.039,68,16/06/2012,22:15:43
46,1,Pyruvic Acid Methyl Ester,B1,0.05,69,16/06/2012,22:15:43
46,1,D-Xylose,B2,0.044,70,16/06/2012,22:15:43
46,1,D-Galacturonic Acid,B3,0.04,71,16/06/2012,22:15:43
46,1,L-Asparagine,B4,0.044,72,16/06/2012,22:15:43
46,1,Tween 40,C1,0.041,73,16/06/2012,22:15:43
46,1,i-Erythritol,C2,0.041,74,16/06/2012,22:15:43
46,1,2-Hydroxy Benzoic Acid,C3,0.041,75,16/06/2012,22:15:43
46,1,L-Phenylalanine,C4,0.041,76,16/06/2012,22:15:43
46,1,Tween 80,D1,0.044,77,16/06/2012,22:15:43
46,1,D-Mannitol,D2,0.042,78,16/06/2012,22:15:43
46,1,4-Hydroxy Benzoic Acid,D3,0.044,79,16/06/2012,22:15:43
46,1,L-Serine,D4,0.045,80,16/06/2012,22:15:43
46,1,_-Cyclodextrin,E1,0.042,81,16/06/2012,22:15:43
46,1,N-Acetyl-D-Glucosamine,E2,0.081,82,16/06/2012,22:15:43
46,1,_-Hydroxybutyric Acid,E3,0.042,83,16/06/2012,22:15:43
46,1,L-Threonine,E4,0.043,84,16/06/2012,22:15:43
46,1,Glycogen,F1,0.042,85,16/06/2012,22:15:43
46,1,D-Glucosaminic Acid,F2,0.04,86,16/06/2012,22:15:43
46,1,Itaconic Acid,F3,0.043,87,16/06/2012,22:15:43
